,name,price,status,link
108,"Apple MacBook Pro 16 Z14Y0008Z Silver (M1 Max 10-Core, GPU 32-core, 64 GB, 1TB)",609990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008z-silver-m1-max-10-core-gpu-32-core-64-gb-1tb
109,"Apple MacBook Pro 16 Z14V0008X Space Gray (M1 Max 10-Core, GPU 32-core, 32 GB, 4TB)",619990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008x-space-gray-m1-max-10-core-gpu-32-core-32-gb-4tb
110,"Apple MacBook Pro 16 Z14Y0008W Silver (M1 Max 10-Core, GPU 32-core, 32 GB, 4TB)",619990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008w-silver-m1-max-10-core-gpu-32-core-32-gb-4tb
111,"Apple MacBook Pro 14 Z15H0007N Space Gray (M1 Max 10-Core, GPU 32-Core, 32GB, 4TB)",624990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007n-space-gray-m1-max-10-core-gpu-32-core-32gb-4tb
112,"Apple MacBook Pro 14 Z15G000DU Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 4TB)",639990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000du-space-gray-m1-max-10-core-gpu-32-core-64-gb-4tb
113,"Apple MacBook Pro 14 Z15H0007Q Space Gray (M1 Max 10-Core, GPU 32-Core, 64GB, 4TB)",649990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007q-space-gray-m1-max-10-core-gpu-32-core-64gb-4tb
114,"Apple MacBook Pro 16 Z14X0004G Space Gray (M1 Max 10-Core, GPU 32-Core, 64 GB, 2 TB)",649990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14x0004g-space-gray-m1-max-10-core-gpu-32-core-64-gb-2-tb
115,"Apple MacBook Pro 14 Z15H0007K Space Gray (M1 Max 10-Core, GPU 32-Core, 64GB, 2TB)",659990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007k-space-gray-m1-max-10-core-gpu-32-core-64gb-2tb
116,"Apple MacBook Pro 16 Z14V00090 Space Gray (M1 Max 10-Core, GPU 24-Core, 32GB, 8TB)",659990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v00090-space-gray-m1-max-10-core-gpu-24-core-32gb-8tb
117,"Apple MacBook Pro 16 Z14V0008T Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 2TB)",659990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008t-space-gray-m1-max-10-core-gpu-32-core-64-gb-2tb
118,"Apple MacBook Pro 16 Z14Y00090 Silver (M1 Max 10-Core, GPU 32-core, 64 GB, 2TB)",659990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y00090-silver-m1-max-10-core-gpu-32-core-64-gb-2tb
119,"Apple MacBook Pro 14 Z15G000DV Space Gray (M1 Max 10-Core, GPU 32-core, 32 GB, 8TB)",669990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000dv-space-gray-m1-max-10-core-gpu-32-core-32-gb-8tb
120,"Apple MacBook Pro 14 Z15J000DJ Silver (M1 Max 10-Core, GPU 32-core, 32 GB, 8TB)",669990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000dj-silver-m1-max-10-core-gpu-32-core-32-gb-8tb
121,"Apple MacBook Pro 16 Z14V00092 Space Gray (M1 Max 10-Core, GPU 32-Core, 32GB, 8TB)",689990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v00092-space-gray-m1-max-10-core-gpu-32-core-32gb-8tb
122,"Apple MacBook Pro 16 Z14Y0008N Silver (M1 Max 10-Core, GPU 24-core, 32 GB, 8TB)",709990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008n-silver-m1-max-10-core-gpu-24-core-32-gb-8tb
123,"Apple MacBook Pro 16 Z14V0008Y Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 4TB)",709990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008y-space-gray-m1-max-10-core-gpu-32-core-64-gb-4tb
124,"Apple MacBook Pro 16 Z14Y00091 Silver (M1 Max 10-Core, GPU 32-core, 64 GB, 4TB)",709990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y00091-silver-m1-max-10-core-gpu-32-core-64-gb-4tb
125,"Apple MacBook Pro 16 Z14V0008Z Space Gray (M1 Pro 10-Core, GPU 16-core, 32 GB, 8TB)",719990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008z-space-gray-m1-pro-10-core-gpu-16-core-32-gb-8tb
126,"Apple MacBook Pro 16 Z14Y0008J Silver (M1 Pro 10-Core, GPU 16-core, 32 GB, 8TB)",719990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008j-silver-m1-pro-10-core-gpu-16-core-32-gb-8tb
127,"Apple MacBook Pro 14 Z15G000DW Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 8TB)",739990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000dw-space-gray-m1-max-10-core-gpu-32-core-64-gb-8tb
128,"Apple MacBook Pro 16 Z14Y0008X Silver (M1 Max 10-Core, GPU 32-core, 32 GB, 8TB)",749990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008x-silver-m1-max-10-core-gpu-32-core-32-gb-8tb
129,"Apple MacBook Pro 14 Z15H0007V Space Gray (M1 Max 10-Core, GPU 32-Core, 64GB, 8TB)",789990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007v-space-gray-m1-max-10-core-gpu-32-core-64gb-8tb
130,"Apple MacBook Pro 16 Z1500004J Silver (M1 Max 10-Core, GPU 32-Core, 64 GB, 8 TB)",859990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z1500004j-silver-m1-max-10-core-gpu-32-core-64-gb-8-tb
131,"Apple MacBook Pro 16 Z14V00093 Space Gray (M1 Max 10-Core, GPU 32-Core, 64GB, 8TB)",929990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v00093-space-gray-m1-max-10-core-gpu-32-core-64gb-8tb
