,id,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
17448,7045515266,bellingham,18528,2017.0,mazda,good,4 cylinders,gas,19048.0,clean,automatic,,,SUV,,1
17449,7045513168,bellingham,18999,2009.0,jeep,,6 cylinders,gas,98994.0,clean,automatic,4wd,,SUV,,1
17450,7045513012,bellingham,31500,2016.0,toyota,,6 cylinders,gas,36371.0,clean,automatic,4wd,,truck,,1
17451,7045512597,bellingham,50850,2017.0,jeep,,,gas,13680.0,clean,automatic,,,,,1
17452,7045509367,bellingham,28999,2015.0,ford,,,gas,59112.0,clean,automatic,4wd,,truck,blue,1
17453,7045504013,bellingham,7950,2019.0,subaru,,4 cylinders,gas,13523.0,salvage,automatic,4wd,compact,SUV,white,1
17454,7045502494,bellingham,8999,2013.0,dodge,,,gas,66073.0,clean,automatic,fwd,,van,white,1
17455,7045495164,bellingham,9999,2016.0,dodge,,,gas,87612.0,clean,automatic,fwd,,SUV,grey,1
17456,7045490876,bellingham,16970,2002.0,ford,excellent,8 cylinders,gas,38800.0,clean,automatic,rwd,,,red,1
17457,7045487359,bellingham,20999,2011.0,ram,,,gas,94462.0,clean,automatic,4wd,,truck,grey,1
17458,7045482382,bellingham,13991,2016.0,hyundai,good,4 cylinders,gas,20560.0,clean,manual,fwd,,coupe,white,1
17459,7045482293,bellingham,16998,2017.0,dodge,good,6 cylinders,other,20189.0,clean,automatic,fwd,,mini-van,silver,1
17460,7045482151,bellingham,29441,2014.0,toyota,good,8 cylinders,other,59301.0,clean,automatic,4wd,,,brown,1
17461,7045482054,bellingham,28773,2015.0,ford,good,6 cylinders,gas,51089.0,clean,automatic,4wd,,,black,1
17462,7045481942,bellingham,37482,2017.0,gmc,good,8 cylinders,other,31469.0,clean,automatic,4wd,,SUV,silver,1
17463,7045481845,bellingham,11721,2016.0,toyota,good,4 cylinders,gas,45602.0,clean,other,fwd,,sedan,red,1
17464,7045481614,bellingham,16995,2019.0,hyundai,good,4 cylinders,gas,21006.0,clean,automatic,,,,blue,1
17465,7045481492,bellingham,21221,2011.0,jeep,good,6 cylinders,gas,46574.0,clean,automatic,4wd,,SUV,black,1
17466,7045481364,bellingham,26998,2011.0,ram,good,8 cylinders,gas,94500.0,clean,automatic,4wd,,pickup,silver,1
17467,7045481251,bellingham,22441,2014.0,gmc,good,8 cylinders,other,87235.0,clean,automatic,4wd,,pickup,red,1
17468,7045480954,bellingham,11914,2015.0,hyundai,good,4 cylinders,gas,78993.0,clean,automatic,fwd,,sedan,orange,1
17469,7045480770,bellingham,22420,2017.0,subaru,good,4 cylinders,gas,25282.0,clean,other,,,,blue,1
17470,7045480688,bellingham,12875,2014.0,subaru,good,4 cylinders,gas,82841.0,clean,other,,,,white,1
17471,7045480566,bellingham,19873,2016.0,nissan,good,6 cylinders,gas,40321.0,clean,other,4wd,,pickup,silver,1
17472,7045480384,bellingham,21444,2012.0,ram,good,8 cylinders,gas,66090.0,clean,automatic,4wd,,pickup,blue,1
17473,7045480178,bellingham,12541,2015.0,kia,good,4 cylinders,other,53227.0,clean,automatic,fwd,,sedan,black,1
17474,7045480042,bellingham,20443,2017.0,subaru,good,4 cylinders,gas,57289.0,clean,other,,,,grey,1
17475,7045479946,bellingham,16754,2016.0,nissan,good,4 cylinders,gas,17671.0,clean,other,,,,silver,1
17476,7045479840,bellingham,18482,2016.0,nissan,good,4 cylinders,gas,16484.0,clean,other,,,,grey,1
17477,7045479692,bellingham,18633,2016.0,mazda,good,4 cylinders,gas,18673.0,clean,automatic,,,SUV,brown,1
17478,7045479593,bellingham,12454,2006.0,lexus,good,8 cylinders,gas,65089.0,clean,automatic,rwd,,sedan,,1
17479,7045479134,bellingham,12999,2014.0,ford,,,gas,90353.0,clean,automatic,4wd,,SUV,silver,1
17480,7045471263,bellingham,21999,2017.0,subaru,,,gas,37899.0,clean,automatic,4wd,,SUV,blue,1
17481,7045458904,bellingham,15999,2012.0,bmw,,8 cylinders,gas,90444.0,clean,automatic,4wd,,SUV,,1
17482,7045458583,bellingham,29999,2015.0,gmc,,8 cylinders,gas,92350.0,clean,automatic,4wd,,truck,,1
17483,7045454427,bellingham,4500,2004.0,honda,good,4 cylinders,gas,198250.0,clean,automatic,4wd,mid-size,SUV,orange,1
17484,7045454429,bellingham,26999,2017.0,ram,,,gas,28751.0,clean,automatic,4wd,,truck,grey,1
17485,7045453741,bellingham,15995,2006.0,ram,good,6 cylinders,diesel,92650.0,clean,automatic,,,pickup,,1
17486,7045453593,bellingham,32995,2017.0,ford,good,6 cylinders,gas,72461.0,clean,automatic,,,SUV,,1
17487,7045445348,bellingham,0,2012.0,ram,,,diesel,83542.0,clean,automatic,4wd,,truck,grey,1
17488,7045438697,bellingham,2000,2002.0,gmc,good,,gas,265746.0,clean,automatic,4wd,,SUV,,1
17489,7045436106,bellingham,26499,2016.0,chevrolet,,,gas,67964.0,clean,automatic,4wd,,truck,silver,1
17490,7045417167,bellingham,15999,2012.0,volkswagen,,,diesel,87003.0,clean,automatic,4wd,,SUV,grey,1
17491,7045416963,bellingham,5995,2005.0,subaru,,,gas,151026.0,clean,automatic,4wd,,SUV,red,1
17492,7045344088,bellingham,16749,2019.0,nissan,,,gas,10673.0,clean,automatic,fwd,,sedan,red,1
17493,7045428344,bellingham,10000,2007.0,subaru,excellent,4 cylinders,gas,,clean,automatic,4wd,mid-size,sedan,black,1
17494,7045426915,bellingham,17999,2019.0,hyundai,,,gas,14243.0,clean,automatic,4wd,,SUV,white,1
17495,7045421489,bellingham,11500,1971.0,mercedes-benz,excellent,6 cylinders,gas,108000.0,clean,automatic,rwd,full-size,sedan,blue,1
17496,7045421005,bellingham,7495,2012.0,volkswagen,,,gas,120439.0,clean,automatic,fwd,,sedan,grey,1
17497,7045420602,bellingham,3995,2004.0,volkswagen,,,gas,117278.0,clean,manual,fwd,,wagon,blue,1
17498,7045420195,bellingham,11995,2001.0,toyota,,,gas,172237.0,clean,automatic,4wd,,pickup,green,1
17499,7045419718,bellingham,8495,2008.0,toyota,,,gas,133445.0,,automatic,4wd,,SUV,blue,1
17500,7045419216,bellingham,5995,2005.0,toyota,,,gas,124142.0,clean,automatic,fwd,,sedan,,1
17501,7045418731,bellingham,8995,2005.0,subaru,,,gas,101314.0,clean,automatic,4wd,,wagon,blue,1
17502,7045418293,bellingham,7995,2010.0,subaru,,,gas,144101.0,clean,automatic,4wd,,SUV,black,1
17503,7045417840,bellingham,9995,2009.0,subaru,,,gas,107373.0,clean,automatic,4wd,,SUV,white,1
17504,7045417422,bellingham,8995,2009.0,subaru,,,gas,145520.0,clean,automatic,4wd,,SUV,blue,1
17505,7045416473,bellingham,4995,2008.0,,,,gas,139436.0,clean,manual,fwd,,,black,1
17506,7045416055,bellingham,3995,2009.0,mazda,,,,157418.0,,automatic,fwd,,sedan,,1
17507,7045415622,bellingham,6995,2007.0,lexus,,,gas,63405.0,,automatic,fwd,,sedan,blue,1
17508,7045415167,bellingham,9995,2009.0,honda,,,gas,154442.0,clean,automatic,4wd,,SUV,,1
17509,7045414669,bellingham,9995,2008.0,honda,,,gas,144090.0,clean,automatic,4wd,,SUV,,1
17510,7045414224,bellingham,5995,2003.0,honda,,,gas,164852.0,,automatic,fwd,,SUV,black,1
